ID,obs_code,phase,range_Q,range_H,equation,a,b,c
1,1018697,1,106.74,2.79,29.543*(h-0.450)^1.511,29.543,0.45,1.511
2,1018697,2,488.73,5.7,49.259*(h-1.120)^1.508,49.259,1.12,1.508
3,1018697,3,3170.99,12.3,108.855*(h-3.000)^1.512,108.855,3,1.512
4,1018690,1,3.07,0.1,18.055*((h+1)-0.690)^1.988,18.055,-0.31,1.988
5,1018690,2,213.93,1.52,68.000*((h+1)-0.850)^2.235,68,-0.15,2.235
6,1018690,3,1519.47,6.5,83.138*((h+1)-0.650)^1.510,83.138,-0.35,1.51
7,1018693,1,53.52,1,104.050*(h-0.290)^1.941,104.05,0.29,1.941
8,1018693,2,408.73,3.2,79.336*(h-0.230)^1.506,79.336,0.23,1.506
9,1018693,3,1340.77,6.8,94.724*(h-0.420)^1.430,94.724,0.42,1.43
10,1018695,1,0.38,0.05,9.450*((h+1)-0.710)^2.980,9.45,-0.29,2.98
11,1018695,2,37.84,1.9,11.822*((h+1)-0.920)^1.703,11.822,-0.08,1.703
12,1018695,3,372.45,4.93,4.382*((h+1)-0.660)^2.673,4.382,-0.34,2.673
